               RA               DEC
262.1664399089879 -46.8951911377428
144.9432033185796 -41.0675567837536
008.1229493066838 +67.2358719462508
348.3207290015033 +57.1683566176719
130.3338694118434 +59.4973455729211
026.0170130716342 -15.9374798910214
188.3225734699404 +09.0211235874244
336.9991483422729 +57.6971518757439
274.5263155604583 -51.4111991500936
267.0333034149370 +70.8766450139128
168.71390500      -26.30654500
017.0679289393637 +54.9201558892397
224.31234400      -21.36326400
006.43779316      -77.25424612
307.6763763528055 +07.8266053263739
348.3207290015033 +57.1683566176719
026.0170130716342 -15.9374798910214
177.7805689606521 +35.2720133940175
145.6930956462996 -68.8850024828372
339.639900000     -15.299932500
258.8374326092300 -26.6028259569056
067.8023809986775 +58.9781368632786
176.6294688880487 -40.5003571853261
053.9987465055250 -44.5127030084914
075.2041639384367 -05.7536734242200
322.8273709538331 -09.7906895203813
247.5752433114095 -12.6625892271478
001.6799888292113 -07.5380608614078
053.9987465055250 -44.5127030084914
034.1243808072067 +13.5868844298778
189.7045767206158 -38.3815751173244
263.8067383922263 -48.6808670563800
170.0201102151292 +65.8464859445483
115.0866194483625 -17.4136546854397
311.2897187392163 -31.3408994138447
103.0752106011242 -05.1737126663642
313.1375691839432 -16.9747231338731
146.1243198707437 -45.7765076776903
303.8224640668642 -27.0329754514956
096.1720202917633 +23.4330378046706
259.7451137490841 -34.9968368537172
024.8405382736300 -39.6024915398100
211.4051076720088 +83.8402102735322
287.7157636525    -48.0787647922
199.6013082768629 -18.3111938190506
245.0146143024262 -37.5290019459436
024.9481863035517 -56.1964481082975
342.0187202090403 -24.3688104981597
251.2764605877504 +33.5092260600039
144.0068217372529 -21.6607993351978
336.99780412      +57.69589792
332.4181013071046 -04.6407363216556
265.9831791011929 +43.3786111181706
175.2625677942550 +34.2016337792914
271.4360566627020 -14.3784681536675
348.3207290015033 +57.1683566176719
138.901675000     -10.596452500
055.0389640834800 -67.4012331405695
269.4520769586187 +04.6933649665767
271.8868237931912 -15.9630745538303
177.7405021913463 +48.3773781064236
302.7997448709225 -36.1012088126686
335.7791533548229 -17.6073147334128
322.4033832271551 +17.6432959692931
063.8397333253692 -07.6557484939156
123.7966529096900 -23.7376795647700
024.94808137      -56.19641658
144.0068217372529 -21.6607993351978
092.6442288992363 -21.8646267647017
303.8224640668642 -27.0329754514956
345.0671756255250 -22.5243471323561
092.6442288992363 -21.8646267647017
344.1002189853825 -31.5655640513242
161.0884704642363 -61.2097987112264
097.6947487001596 -76.7189008271014
173.8622823626925 -32.5399678375219
026.0170130716342 -15.9374798910214
229.8617789114604 -07.7222748604072
255.8495160836442 +51.4063524111836
348.3207290015033 +57.1683566176719
290.1999346677496 -45.5582343162572
015.6619502612442 +62.3450486826197
077.9191243314571 -45.0184338152433
004.5953540832000 +44.0229549865522
191.9859357054958 +09.7513987963186
245.0131693802758 -37.5300759943331
053.5509103092404 -49.8922299987911
224.3666699661550 -21.4154797959194
271.3644289008066 +02.4989469968442
275.6128948314121 +62.0504851737469
270.5691827808592 +64.2622893334845
269.4520769586187 +04.6933649665767
225.8317120974337 +25.4221654663942
264.2652727361141 -44.3192129147144
316.7302660185276 +38.7420440332956
031.4523104324875 -30.1766403704167
324.86153900      +02.33963800
122.9898715539079 +08.7730424682128
049.9818788009275 -43.0697819967850
344.1450193878596 +16.5534321212744
289.2400456449525 +05.1504447009481
030.0539846659696 +13.0519446025669
254.2739009284700 -04.3489772316306
166.3786899253292 +43.5216347771075
311.2897187392163 -31.3408994138447
352.9673910466166 +19.9372584439569
086.1105696814671 -22.4218373612503
355.7762993219799 +36.5369825839892
222.8474519414600 +19.1004499448400
255.8495160833604 +51.4063524105161
024.9492195659500 -56.1933178645500
134.734670000     +08.473907800
164.1205036259475 +07.0147231348017
264.2652727361141 -44.3192129147144
332.4181013071046 -04.6407363216556
246.3525959952212 +54.3041015182333
169.545549500     +31.529288900
353.7935934445611 -02.3890593186403
327.0679110788896 +40.0664810699475
184.48711700      +16.44467700
195.1396757483258 +05.6855546167733
139.2721825513450 -77.8231620780070
016.2241795760979 -18.1246182116864
097.6936274235088 -76.7193345557242
259.7623699927408 -46.6369744712908
165.8341450816425 +35.9698822727936
026.0170130716342 -15.9374798910214
189.4675670638621 -52.0014784529464
259.0556767257492 -26.5461490453872
217.4289422216058 -62.6794901890756
075.6186289760158 -21.2566785552456
004.5953540832000 +44.0229549865522
075.4892755489467 -06.9462156337492
088.7897103631296 -04.1686292613947
348.3207290015033 +57.1683566176719
104.4437500860829 -44.2910938834894
279.8818284324258 +09.0287211786744
280.2908323199583 +24.7887807966603
199.6013082768629 -18.3111938190506
219.90205833      -60.83399269
263.8067383922263 -48.6808670563800
176.9349886172583 +00.8045556493308
075.4892755489467 -06.9462156337492
232.6263658056200 +09.4337340596600
018.1276536776592 -16.9989883365442
264.4722785073120 +18.5917122490147
202.4991079143129 +10.3771623701597
348.3207290015033 +57.1683566176719
030.1595345847800 -55.9679513574600
077.1460187652492 -18.1720524784992
303.8224640668642 -27.0329754514956
105.9822064036721 +52.7018244389255
164.1205036259475 +07.0147231348017
070.0969776537179 -05.5022570511083
264.1079137894188 +68.3391415631039
266.6049121050699 +27.7172602120561
281.2718885387834 -63.9631805859939
002.8825836652983 +59.1444122374083
133.4006686658833 -03.4922770848742
297.69582730      +08.86832120
092.6442288992363 -21.8646267647017
228.7535543514546 +48.7948026936389
219.90208         -60.83397
186.2187625272683 -18.2422936486256
030.0539846659696 +13.0519446025669
162.0525593784167 -11.3360029704083
259.7451137490841 -34.9968368537172
031.2703287952708 -17.6146487504122
053.2326853798279 -09.4582609705181
148.4798861736025 +20.9463313978047
224.1594311314862 -28.1635053204125
282.0730722831846 +07.6892184737414
346.4668157737879 -35.8530708847331
030.5676791646829 +10.3372049315061
005.0177443062317 -64.8747936639189
045.4641231321    -16.5933639678
165.0177375309508 +22.8329569472072
235.1814018799778 -51.0266569899714
099.2949950063738 +17.5648147836342
097.3474646563496 -02.8135566419503
111.8520790356679 +05.2257893030714
162.0607233767138 -39.9352340955186
169.5451500480855 +31.5291171363650
012.0957332295496 +05.2806137458206
075.8336853455533 -17.3735337046972
257.3814315851838 +43.6813257952583
249.0893737070700 -02.3245869511758
214.09975900      +13.81008900
346.4668157737879 -35.8530708847331
259.7451137490841 -34.9968368537172
127.4556366341358 +26.7760067064053
174.5698939070404 -77.3634960840981
075.6182984372263 -21.2565910528186
226.9486492731425 -16.4611427730128
001.3517851465738 -37.3573633143070
246.0388071440814 +48.3530854370768
091.9125830524783 +24.4991094660500
004.6076047535879 +44.0272478977381
045.462820300     -16.591962800
010.3584458429829 -22.3506367097456
311.2897187392163 -31.3408994138447
063.8179984124771 -07.6528696608383
307.4513246532652 +09.6890529185650
266.6426378103770 -57.3190440136656
306.5220922123100 +58.5729667824925
008.1232777146475 +67.2343884115103
348.3207290015033 +57.1683566176719
259.7451137490841 -34.9968368537172
165.8341450816425 +35.9698822727936
146.1243198707437 -45.7765076776903
090.6216429814667 +49.8655987602706
088.5957624554    +20.2761727883
175.5462222295741 +26.7065696618828
330.8402234423433 -56.7859785543650
343.4724382226316 -06.7818022856050
264.1079137894188 +68.3391415631039
038.4048994934100 +24.9271353867414
009.0671328713258 +18.3528574072128
210.9647746746696 -42.6980558493936
302.1817036316884 -66.1820674358970
103.7039919305688 +33.2681773006719
261.4384684594025 +02.1114232590006
286.7731859088600 +20.8880390048814
178.2448639115646 +37.7186816980903
262.1664399089879 -46.8951911377428
138.6028451944162 +52.6863617977528
177.7405021913463 +48.3773781064236
186.2187625272683 -18.2422936486256
082.8641491050671 -03.6772288901392
041.0646239210579 +25.5233652372778
332.4181013071046 -04.6407363216556
144.89787400      -24.80776200
217.6574603575225 +59.7235741959470
162.32881400      -53.31946600
134.5631172162429 +19.7627324233161
264.2652727361141 -44.3192129147144
001.6799888292113 -07.5380608614078
162.4401157839475 +35.5475302619092
025.6240105213667 +20.2685126826972
098.4448550070567 -75.6249732595697
197.9683076116925 +27.8781839748500
138.5948952603458 +52.6866087509314
152.8422497884929 +49.4542363908575
114.82549791      +05.22498756
003.86712874      -16.13378620
278.9078338444471 +32.9981433608722
116.1673846026934 +03.5524653409928
075.6186268568100 -21.2566819561455
307.6335224872163 +65.4495587105178
154.9011700755108 +19.8700029018253
176.9349886172583 +00.8045556493308
069.4475302869571 -08.8196166260125
053.2326853798279 -09.4582609705181
162.7167968251621 +06.8081276715028
306.5220922123100 +58.5729667824925
017.5953370754902 -67.4449857386019
326.5919686078100 +38.2180492527300
089.1060832868696 +05.3634564379086
226.7185023148279 +70.4569864677289
071.2263834226704 +63.4022849490972
323.3915629966566 -49.0089998408411
043.7653862745296 -47.0142658066542
280.6946016085025 +59.6303915127942
267.6033787239400 -00.2708320659722
012.2716327509962 +57.8178262412664
124.3749953362292 -61.9210162848153
015.6343142894521 +71.6798156278261
319.3136211170721 -38.8673622051614
099.2949950063738 +17.5648147836342
049.9818788009275 -43.0697819967850
062.6171808134388 -53.6022607093355
039.0204222370763 +06.8867732373042
330.6224345766250 -37.0809179792603
144.0068217372529 -21.6607993351978
205.6802878230271 +33.2900901219097
188.4356010485612 +41.3574781535719
045.4641402837700 -16.5933419940347
298.4770088165204 +44.4142615456386
352.9673910466166 +19.9372584439569
219.89609629      -60.83752757
259.7451137490841 -34.9968368537172
258.8365985355513 -26.6016992244297
173.6228601847283 -32.8313396648364
123.1703707200704 -21.5519395995981
175.5462222295741 +26.7065696618828
199.9397761364012 +47.7780293165431
312.2915094205300 -40.2016736968127
253.8550926890183 -08.3225824914353
293.0899592077504 +69.6611766125572
289.2302357036334 +05.1689001539356
104.8700687442279 +19.3488494083481
311.2897187392163 -31.3408994138447
177.7405021913463 +48.3773781064236
026.0170130716342 -15.9374798910214
266.6049398156645 +27.7172863149433
191.9859357054958 +09.7513987963186
343.3197190985359 -14.2636955700514
348.3207290015033 +57.1683566176719
115.0807159367321 -17.4127535959822
286.92911400      +32.54491700
104.4442717271029 -44.2911783578908
343.3197190985359 -14.2636955700514
235.5272511063567 -19.4717533707256
176.6362078142108 -40.4965568753353
026.0170130716342 -15.9374798910214
086.1157942373250 -22.4483854878483
085.5386153633746 +12.4893346765456
344.41269272      -29.62223703
157.2314636792975 +00.8409996957156
124.0332554682696 +01.3025736681475
199.6013082768629 -18.3111938190506
169.5451500480855 +31.5291171363650
049.9818788009275 -43.0697819967850
111.8520790356679 +05.2257893030714
092.6442288992363 -21.8646267647017
077.9191243314571 -45.0184338152433
343.3197190985359 -14.2636955700514
209.5580073528100 +12.5788619532647
289.2302357036334 +05.1689001539356
092.64500         -21.86667
280.2906597941883 +24.7873414761450
091.2172860835296 -34.5599373454303
173.8622823626925 -32.5399678375219
049.9818788009275 -43.0697819967850
352.96741241      +19.93726403
199.6013082768629 -18.3111938190506
175.5462222295741 +26.7065696618828
067.7979767891687 +58.9770732912486
310.1410968850179 +15.4996472392683
275.26409395      +72.73284772
352.9690639074758 +19.9372236184208
107.5076398994771 +38.5294684731389
346.4668157737879 -35.8530708847331
153.0736177081600 -03.7456644563700
111.8520790356679 +05.2257893030714
214.1003082079000 +13.8072759114400
344.41269271      -29.62223703
310.4630337216767 -32.4351825784097
176.9224454840937 +78.6911600635658
229.8617789114604 -07.7222748604072
330.8402234423433 -56.7859785543650
259.7451137490841 -34.9968368537172
099.2949950063738 +17.5648147836342
339.6898942660854 -20.6211354019656
312.5673328159029 -34.4118330019333
024.756053900     -17.950568100
053.9987465055250 -44.5127030084914
118.2839329254238 -67.7920505587320
274.7384690951179 +66.1925845365695
264.4722785073120 +18.5917122490147
271.36368827      +02.50009883
316.7247482895925 +38.7494173194369
258.8374330733    -26.6028214208
104.44417763      -44.29119771
001.6799888292113 -07.5380608614078
024.2356689249292 +09.5631422127692
130.3338694118434 +59.4973455729211
110.01355700      -08.78052900
058.8473899628375 +11.5621658428700
246.3525959952212 +54.3041015182333
327.9096642688306 +59.2944077395070
077.9191243314571 -45.0184338152433
101.2887674687654 -16.7168679833519
111.8520790356679 +05.2257893030714
072.4600466881188 +06.9612779506294
222.84741637      +19.10047205
176.4288205609913 -64.8415172105089
266.6147804003271 +27.7207113830347
049.8404017399050 +03.3701986055233
128.9272143433117 -08.3231589247497
026.0170130716342 -15.9374798910214
012.2762274762175 +57.8151772888100
188.322339500     +09.021053400
190.1928724934492 -43.5663865941844
341.7072135876117 +44.3339928837672
175.7991125321    -39.4323214031
092.5826950409833 +82.1067551596511
253.8968989059733 -08.3946536314097
336.9981564512275 +57.6950223777161
090.0146009238775 +02.7065534943711
048.3454896126471 +04.7748157078131
024.7568238273125 -17.9502781224244
173.6269906691067 -32.8340013233497
343.3197190985359 -14.2636955700514
175.3396710029950 -36.4096006736297
039.01942         +06.88744
280.6953944644875 +59.6268669892814
176.6294688880487 -40.5003571853261
165.8341450816425 +35.9698822727936
