ra,dec
ra,dec
168.82981,-18.199909229084643
169.36085,-18.415728754612164
169.89186,-18.63219807272843
170.42287,-18.84929245522998
170.95389,-19.066998065467654
171.48495,-19.285290279529303
172.01606,-19.504153059783903
172.54725,-19.723572790747564
173.07852,-19.94352345642919
173.60991,-20.16399015892389
174.14143,-20.38495703594459
174.6731,-20.606411176602588
175.20495,-20.828314452761845
175.73698,-21.050671949262423
176.26921,-21.273449523793317
176.80168,-21.49662912279548
177.33439,-21.720206639036576
177.86737,-21.944144820381304
178.40063,-22.168428526786087
178.93419,-22.39304146830524
179.46808,-22.617965315343973
180.0023,-22.843175733755075
180.53688,-23.06865530072171
181.07184,-23.294377624104985
181.60719,-23.52033517912519
182.14295,-23.746500428901303
182.67914,-23.9728577806772
183.21578,-24.19937755960072
183.75289,-24.42604509467609
184.29047,-24.652840602914765
184.82856,-24.879737296394083
185.36716,-25.106716281657857
185.90629,-25.33376065127114
186.44598,-25.56084240023453
186.98622,-25.787941500624896
187.52705,-26.01504085649468
188.06848,-26.24211127842744
188.61052,-26.469134561513822
189.15319,-26.69609141972332
189.69651,-26.92295249336879
190.24048,-27.149698380236067
190.78513,-27.37630060911522
191.33047,-27.60274863953064
191.87651,-27.82901288115685
192.42327,-28.055064675233343
192.97076,-28.28088228462778
193.51899,-28.506455938253985
194.06799,-28.73173578475916
194.61775,-28.956721907273398
195.16829,-29.181382324406894
195.71964,-29.40568703564137
196.27179,-29.62961489533837
196.82476,-29.85314478584065
197.37856,-30.076254487155857
197.9332,-30.29890471710164
198.48869,-30.52109313465233
199.04505,-30.7427673400428
199.60228,-30.96392487586179
200.1604,-31.18453626570725
200.7194,-31.40456694768519
201.27931,-31.623995303444467
201.84012,-31.842798662433992
202.40186,-32.060945301314895
202.96452,-32.27842239702
203.5281,-32.49519622805276
204.09263,-32.71123493037939
204.65811,-32.926513485468504
205.22453,-33.14101104204825
205.79191,-33.35470254714093
206.36026,-33.56756502030018
206.92957,-33.779564322659986
207.49985,-33.99066633627436
208.0711,-34.20086897080499
208.64333,-34.41011704571487
209.21655,-34.618406273945325
209.79074,-34.825701406779245
210.36592,-35.031980234042834
210.94208,-35.23721745629179
211.51923,-35.441376673196444
212.09736,-35.64443568437537
212.67648,-35.84636896022295
213.25659,-36.047161106587176
213.83767,-36.24676688402509
214.41974,-36.44517078753171
215.00278,-36.64234946213273
215.58681,-36.83826628551799
216.1718,-37.032905978952655
216.75776,-37.22623307953556
217.34468,-37.418222117551686
217.93256,-37.60886761827538
218.52139,-37.79811310871976
219.11116,-37.98596321025829
219.70187,-38.17236344340649
220.29352,-38.35731535163036
220.88608,-38.54077456623363
221.47955,-38.72272463425911
222.07393,-38.90315021174024
222.6692,-39.08200276932638
223.26536,-39.25927908345592
223.86238,-39.43495064927936
224.46027,-39.6089822899542
225.059,-39.78136774621905
225.65857,-39.95206955736013
226.25895,-40.12107249503647
226.86014,-40.28835936861209
227.46213,-40.45389301351984
228.06489,-40.6176582779881
228.66841,-40.77963693929304
229.27267,-40.93980402091029
229.87767,-41.098132350527365
230.48337,-41.254615030180446
231.08976,-41.409225817966544
231.69683,-41.56193701425933
232.30455,-41.712732693720895
232.9129,-41.86159597423703
233.52187,-42.008500874216935
234.13143,-42.15343885616095
234.74156,-42.2963851355446
235.35225,-42.4373318616018
235.96346,-42.57624260389489
236.57518,-42.713110846579625
237.18738,-42.84791886227957
237.80004,-42.98065121019526
238.41313,-43.11130150281272
239.02664,-43.23983141573397
239.64053,-43.36624465226478
240.25479,-43.49051482671172
240.86938,-43.612636723386025
241.48427,-43.73259134559961
242.09946,-43.850372581639206
242.71489,-43.96595522077553
243.33056,-44.07934153617616
243.94644,-44.19050627470553
244.56248,-44.29945081539943
245.17868,-44.40615942128648
245.79499,-44.51061698077063
246.4114,-44.61281515672245
247.02787,-44.7127390709612
247.64437,-44.81040133634856
248.26088,-44.90577631836025
248.87737,-44.99885757838456
249.49381,-45.08963872582561
250.11016,-45.17811242760279
250.72641,-45.264274369013485
251.34251,-45.34811731184119
251.95845,-45.42964618418333
252.57419,-45.50883370291103
253.1897,-45.5857038989916
253.80495,-45.66022170113385
254.41992,-45.7324113702084
255.03457,-45.80225467821461
255.64887,-45.86975922298173
256.2628,-45.93491587553714
256.87633,-45.997721907806806
257.48943,-46.05817896661979
258.10206,-46.116293143829445
258.7142,-46.172058867932506
259.32583,-46.2254787639621
259.9369,-46.27654945893183
260.54741,-46.32527424056176
261.1573,-46.37165797039504
261.76657,-46.41570626773091
262.37518,-46.45741181813744
262.98311,-46.49679157624149
263.59032,-46.53383816736099
264.19679,-46.56855848523084
264.8025,-46.60096562585165
265.40742,-46.63105628709614
266.01152,-46.65883376312808
266.61478,-46.68431395895742
267.21717,-46.70749294384082
267.81867,-46.72838384374372
268.41926,-46.74699291793816
269.01891,-46.76333632578557
269.61759,-46.777407280585166
270.2153,-46.78921311763389
270.81199,-46.79877822170154
271.40766,-46.80610774491024
272.00228,-46.81119823245895
272.59583,-46.81407513449373
273.18829,-46.814742808971616
273.77963,-46.81320774469127
274.36985,-46.80948657187298
274.95892,-46.80359272084854
275.54682,-46.79552472738496
276.13354,-46.78530629933977
276.71906,-46.77294402141355
277.30335,-46.75845449635814
277.88641,-46.74184346521709
278.46823,-46.7231255745286
279.04877,-46.70231857932865
279.62804,-46.67943825893546
280.20601,-46.65449029285208
280.78267,-46.62748136856169
281.35802,-46.59844751675666
281.93203,-46.56738533501367
282.50469,-46.53430966041898
283.076,-46.499239523584585
283.64595,-46.46218956231459
284.21452,-46.42317672478944
284.7817,-46.3822068645341
285.34749,-46.339306934378605
285.91187,-46.29448478373196
286.47484,-46.24776528074359
287.03639,-46.19914528696026
287.59652,-46.148651855955656
288.15522,-46.09630284281507
288.71248,-46.04210320963123
289.26829,-45.98608081090637
289.82266,-45.92824159980515
290.37558,-45.86861360428328
290.92704,-45.8072025901143
291.47704,-45.74402657565486
292.02558,-45.67911149122298
292.57266,-45.61245533530179
293.11828,-45.54408485463544
293.66242,-45.47401612035096
